TABLE rows=16
CHECK row=3 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=3 twenty_one_row_perturbations_refused_atomically
CHECK row=3 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=3 every_input_dword_every_bit_atomic_refusals
CHECK row=3 six_input_output_alias_layouts_applied
CHECK row=3 cross_alias_refusal_atomic
ROW index=3 vs=4944d81dfe531b37 ps=ca6bfa4a6cca7e2a class=B status=PASS vertex_words=575 pixel_words=1460 mutations=60288 program_perturbations=26
CHECK row=4 pair_and_per_stage_lookups_applied_identically
CHECK row=4 all_original_words_preserved
CHECK row=4 vertex_previous_clip_and_public_abi
CHECK row=4 authored_fragment_register_bits_literals_and_opcodes
CHECK row=4 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=4 twenty_one_row_perturbations_refused_atomically
CHECK row=4 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=4 every_input_dword_every_bit_atomic_refusals
CHECK row=4 six_input_output_alias_layouts_applied
CHECK row=4 cross_alias_refusal_atomic
ROW index=4 vs=b0602757fce6e870 ps=517540ae6d5e5410 class=A status=PASS vertex_words=539 pixel_words=529 mutations=29344 program_perturbations=26
CHECK row=5 pair_and_per_stage_lookups_applied_identically
CHECK row=5 all_original_words_preserved
CHECK row=5 vertex_previous_clip_and_public_abi
CHECK row=5 authored_fragment_register_bits_literals_and_opcodes
CHECK row=5 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=5 twenty_one_row_perturbations_refused_atomically
CHECK row=5 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=5 every_input_dword_every_bit_atomic_refusals
CHECK row=5 six_input_output_alias_layouts_applied
CHECK row=5 cross_alias_refusal_atomic
ROW index=5 vs=4944d81dfe531b37 ps=5e0a10fe752b6140 class=B status=PASS vertex_words=575 pixel_words=1486 mutations=61120 program_perturbations=26
CHECK row=6 pair_and_per_stage_lookups_applied_identically
CHECK row=6 all_original_words_preserved
CHECK row=6 vertex_previous_clip_and_public_abi
CHECK row=6 authored_fragment_register_bits_literals_and_opcodes
CHECK row=6 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=6 twenty_one_row_perturbations_refused_atomically
CHECK row=6 forty_program_perturbations_refused_by_revalidation
CHECK row=6 every_input_dword_every_bit_atomic_refusals
CHECK row=6 six_input_output_alias_layouts_applied
CHECK row=6 cross_alias_refusal_atomic
ROW index=6 vs=37c34a7478544c14 ps=f1b0e820c7b488c3 class=C status=PASS vertex_words=787 pixel_words=1923 mutations=81888 program_perturbations=40
CHECK row=7 pair_and_per_stage_lookups_applied_identically
CHECK row=7 all_original_words_preserved
CHECK row=7 vertex_previous_clip_and_public_abi
CHECK row=7 authored_fragment_register_bits_literals_and_opcodes
CHECK row=7 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=7 twenty_one_row_perturbations_refused_atomically
CHECK row=7 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=7 every_input_dword_every_bit_atomic_refusals
CHECK row=7 six_input_output_alias_layouts_applied
CHECK row=7 cross_alias_refusal_atomic
ROW index=7 vs=53a0a641107ed76c ps=63f96eba9eea7880 class=A status=PASS vertex_words=545 pixel_words=1424 mutations=58176 program_perturbations=26
CHECK row=8 pair_and_per_stage_lookups_applied_identically
CHECK row=8 all_original_words_preserved
CHECK row=8 vertex_previous_clip_and_public_abi
CHECK row=8 authored_fragment_register_bits_literals_and_opcodes
CHECK row=8 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=8 twenty_one_row_perturbations_refused_atomically
CHECK row=8 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=8 every_input_dword_every_bit_atomic_refusals
CHECK row=8 six_input_output_alias_layouts_applied
CHECK row=8 cross_alias_refusal_atomic
ROW index=8 vs=167eb2d5629ab9d3 ps=d44db87778a43b61 class=B status=PASS vertex_words=585 pixel_words=580 mutations=32448 program_perturbations=26
CHECK row=9 pair_and_per_stage_lookups_applied_identically
CHECK row=9 all_original_words_preserved
CHECK row=9 vertex_previous_clip_and_public_abi
CHECK row=9 authored_fragment_register_bits_literals_and_opcodes
CHECK row=9 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=9 twenty_one_row_perturbations_refused_atomically
CHECK row=9 forty_program_perturbations_refused_by_revalidation
CHECK row=9 every_input_dword_every_bit_atomic_refusals
CHECK row=9 six_input_output_alias_layouts_applied
CHECK row=9 cross_alias_refusal_atomic
ROW index=9 vs=494fe349b8bc12ec ps=e6794b6ec37ff71a class=C status=PASS vertex_words=545 pixel_words=1806 mutations=70400 program_perturbations=40
CHECK row=10 pair_and_per_stage_lookups_applied_identically
CHECK row=10 all_original_words_preserved
CHECK row=10 vertex_previous_clip_and_public_abi
CHECK row=10 authored_fragment_register_bits_literals_and_opcodes
CHECK row=10 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=10 twenty_one_row_perturbations_refused_atomically
CHECK row=10 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=10 every_input_dword_every_bit_atomic_refusals
CHECK row=10 six_input_output_alias_layouts_applied
CHECK row=10 cross_alias_refusal_atomic
ROW index=10 vs=53a0a641107ed76c ps=3b94320087e81945 class=A status=PASS vertex_words=545 pixel_words=1396 mutations=57280 program_perturbations=26
CHECK row=11 pair_and_per_stage_lookups_applied_identically
CHECK row=11 all_original_words_preserved
CHECK row=11 vertex_previous_clip_and_public_abi
CHECK row=11 authored_fragment_register_bits_literals_and_opcodes
CHECK row=11 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=11 twenty_one_row_perturbations_refused_atomically
CHECK row=11 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=11 every_input_dword_every_bit_atomic_refusals
CHECK row=11 six_input_output_alias_layouts_applied
CHECK row=11 cross_alias_refusal_atomic
ROW index=11 vs=53a0a641107ed76c ps=462342e3e5781384 class=A status=PASS vertex_words=545 pixel_words=1382 mutations=56832 program_perturbations=26
CHECK row=12 pair_and_per_stage_lookups_applied_identically
CHECK row=12 all_original_words_preserved
CHECK row=12 vertex_previous_clip_and_public_abi
CHECK row=12 authored_fragment_register_bits_literals_and_opcodes
CHECK row=12 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=12 twenty_one_row_perturbations_refused_atomically
CHECK row=12 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=12 every_input_dword_every_bit_atomic_refusals
CHECK row=12 six_input_output_alias_layouts_applied
CHECK row=12 cross_alias_refusal_atomic
ROW index=12 vs=4944d81dfe531b37 ps=64bac8bb307eb896 class=B status=PASS vertex_words=575 pixel_words=1524 mutations=62336 program_perturbations=26
CHECK row=13 pair_and_per_stage_lookups_applied_identically
CHECK row=13 all_original_words_preserved
CHECK row=13 vertex_previous_clip_and_public_abi
CHECK row=13 authored_fragment_register_bits_literals_and_opcodes
CHECK row=13 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=13 twenty_one_row_perturbations_refused_atomically
CHECK row=13 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=13 every_input_dword_every_bit_atomic_refusals
CHECK row=13 six_input_output_alias_layouts_applied
CHECK row=13 cross_alias_refusal_atomic
ROW index=13 vs=494fe349b8bc12ec ps=7c83ed50c9894e44 class=A status=PASS vertex_words=545 pixel_words=1430 mutations=58368 program_perturbations=26
CHECK row=14 pair_and_per_stage_lookups_applied_identically
CHECK row=14 all_original_words_preserved
CHECK row=14 vertex_previous_clip_and_public_abi
CHECK row=14 authored_fragment_register_bits_literals_and_opcodes
CHECK row=14 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=14 twenty_one_row_perturbations_refused_atomically
CHECK row=14 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=14 every_input_dword_every_bit_atomic_refusals
CHECK row=14 six_input_output_alias_layouts_applied
CHECK row=14 cross_alias_refusal_atomic
ROW index=14 vs=4944d81dfe531b37 ps=0c1f3f0f440e4a0c class=B status=PASS vertex_words=575 pixel_words=1498 mutations=61504 program_perturbations=26
CHECK row=15 pair_and_per_stage_lookups_applied_identically
CHECK row=15 all_original_words_preserved
CHECK row=15 vertex_previous_clip_and_public_abi
CHECK row=15 authored_fragment_register_bits_literals_and_opcodes
CHECK row=15 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=15 twenty_one_row_perturbations_refused_atomically
CHECK row=15 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=15 every_input_dword_every_bit_atomic_refusals
CHECK row=15 six_input_output_alias_layouts_applied
CHECK row=15 cross_alias_refusal_atomic
ROW index=15 vs=c30104cb0efb6675 ps=a66fb1981ba755b2 class=B status=PASS vertex_words=569 pixel_words=441 mutations=27488 program_perturbations=26
RESULT PASS rows=16 transformed=16 skipped=0 checks=161 mutations=925248 aliases=96
