x,y,name,name_file,name_resolved,background_index,family,sector_size_native,sector_size_km,dust,body_rates,near_native,far_native,near_km,far_km,stardust_percent,stardust_target,neb_override,stars_override,automatic_body_sizes,present_body_slots,alpha_texture_statuses,alpha_texture_missing,alpha_texture_sha256,positive_rate_missing_slots
0,3,Ringo Moon,Ringo Moon,True,31,standardblack,20000000,40.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
1,3,Argon Prime,Argon Prime,True,2,bluewell,22500000,45.0,8,"25,25,25,25,25,25,0,0",18000000,18500000,36.0,37.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
2,3,The Wall,The Wall,True,31,standardblack,20000000,40.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
3,3,Farnham's Legend,Farnham's Legend,True,31,standardblack,15000000,30.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
4,3,Bala Gi's Joy,Bala Gi's Joy,True,30,redsplit,22500000,45.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,3,Blue Profit,Blue Profit,True,31,standardblack,25000000,50.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
6,3,Rhonkar's Fire,Rhonkar's Fire,True,27,redfire,17500000,35.0,0,"25,25,20,21,20,15,0,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
7,3,Rhonkar's Clouds,Rhonkar's Clouds,True,27,redfire,20000000,40.0,0,"25,25,20,21,20,15,0,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
8,3,Tharka's Sun,Tharka's Sun,True,31,standardblack,16500000,33.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
9,3,Cho's Defeat,Cho's Defeat,True,31,standardblack,15000000,30.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
11,3,Asteroid Belt,Asteroid Belt,True,67,solarsystem,30000000,60.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
12,3,Mars,Mars,True,67,solarsystem,25000000,50.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
13,3,Earth,Earth,True,67,solarsystem,45000000,90.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
14,3,Family Tkr,Family Tkr,True,26,reddawn,20000000,40.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
15,3,Tkr's Deprivation,Tkr's Deprivation,True,26,reddawn,25000000,50.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
16,3,Ghinn's Escape,Ghinn's Escape,True,31,standardblack,11500000,23.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
17,3,Hila's Joy,Hila's Joy,True,4,burninghorizon,20000000,40.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
18,3,Ocean of Fantasy,Ocean of Fantasy,True,31,standardblack,17500000,35.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
20,3,Twisted Skies,Twisted Skies,True,27,redfire,30000000,60.0,0,"25,25,20,21,20,15,0,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
0,4,Red Light,Red Light,True,23,oppositered,16000000,32.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
1,4,Home of Light,Home of Light,True,23,oppositered,12500000,25.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
2,4,President's End,President's End,True,8,deepred,15000000,30.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
3,4,Elena's Fortune,Elena's Fortune,True,31,standardblack,20000000,40.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
4,4,Olmancketslat's Treaty,Olmancketslat's Treaty,True,30,redsplit,16500000,33.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,4,Ceo's Sprite,Ceo's Sprite,True,24,purpleoutlands,30000000,60.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
6,4,Family Rhonkar,Family Rhonkar,True,27,redfire,30000000,60.0,0,"25,25,20,21,20,15,0,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
7,4,Unknown Sector,Unknown Sector,True,67,solarsystem,15000000,30.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
8,4,Unknown Sector,Unknown Sector,True,67,solarsystem,15000000,30.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
9,4,Patriarch's Keep,Patriarch's Keep,True,22,midnightblue,12500000,25.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
10,4,Two Grand,Two Grand,True,22,midnightblue,35000000,70.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
13,4,Heretic's End,Heretic's End,True,8,deepred,15000000,30.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
14,4,Harmony of Perpetuity,Harmony of Perpetuity,True,8,deepred,27500000,55.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
16,4,Family Njy,Family Njy,True,25,redborderland,17500000,35.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
0,5,Cloudbase South West,Cloudbase South West,True,23,oppositered,10000000,20.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
1,5,Ore Belt,Ore Belt,True,33,whitenexus,15000000,30.0,16,"25,25,25,25,25,25,0,0",17000000,17500000,34.0,35.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
2,5,Cloudbase South East,Cloudbase South East,True,33,whitenexus,10000000,20.0,16,"25,25,25,25,25,25,0,0",17000000,17500000,34.0,35.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
3,5,Split Fire,Split Fire,True,4,burninghorizon,14500000,29.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
4,5,Brennan's Triumph,Brennan's Triumph,True,3,brennanstriumph,12500000,25.0,0,"25,50,10,5,5,0,5,0",7500000,10000000,15.0,20.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,5,Company Pride,Company Pride,True,24,purpleoutlands,14000000,28.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
6,5,Thuruk's Beard,Thuruk's Beard,True,5,cyancorner,35000000,70.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
7,5,Unknown Sector,Unknown Sector,True,67,solarsystem,15000000,30.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
8,5,Unknown Sector,Unknown Sector,True,67,solarsystem,15000000,30.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
10,5,Profit Center Alpha,Profit Center Alpha,True,22,midnightblue,27500000,55.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
11,5,PTNI Headquarters,PTNI Headquarters,True,22,midnightblue,13500000,27.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
12,5,Void of Opportunity,Void of Opportunity,True,22,midnightblue,20000000,40.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
13,5,Circle of Labour,Circle of Labour,True,0,bluedistance,20000000,40.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,75000,"1,2,3,4,5,6",not_referenced,,,7
14,5,Elysium of Light,Elysium of Light,True,25,redborderland,10000000,20.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
15,5,Xenon Sector 472,Xenon Sector 472,True,22,midnightblue,15000000,30.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
16,5,Thyn's Abyss,Thyn's Abyss,True,25,redborderland,18000000,36.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
17,5,Albion Delta,Albion Delta,True,19,greenoutlands,20000000,40.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
19,5,Zyarth's Dominion,Zyarth's Dominion,True,31,standardblack,50000000,100.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
20,5,Zyarth's Stand,Zyarth's Stand,True,31,standardblack,22500000,45.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
21,5,Xenon Sector 695,Xenon Sector 695,True,31,standardblack,10000000,20.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
0,6,Emperor Mines,Emperor Mines,True,31,standardblack,16500000,33.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
1,6,Paranid Prime,Paranid Prime,True,16,fogparanid,10000000,20.0,16,"25,25,25,25,25,25,0,0",11500000,12500000,23.0,25.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
2,6,Priest Rings,Priest Rings,True,16,fogparanid,11000000,22.0,16,"25,25,25,25,25,25,0,0",11500000,12500000,23.0,25.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
3,6,Priest's Pity,Priest's Pity,True,31,standardblack,22500000,45.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
4,6,Danna's Chance,Danna's Chance,True,24,purpleoutlands,10000000,20.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,6,Nopileos' Memorial,Nopileos' Memorial,True,62,orangenexus,16500000,33.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
6,6,Hatikvah's Faith,Hatikvah's Faith,True,24,purpleoutlands,17500000,35.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
7,6,Aladna Hill,Aladna Hill,True,31,standardblack,12500000,25.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
8,6,Akeela's Beacon,Akeela's Beacon,True,28,rednexus,42500000,85.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
11,6,Scale Plate Green,Scale Plate Green,True,31,standardblack,14500000,29.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
12,6,Nyana's Hideout,Nyana's Hideout,True,31,standardblack,25000000,50.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
13,6,Omicron Lyrae,Omicron Lyrae,True,18,greeneye,14000000,28.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
14,6,Treasure Chest,Treasure Chest,True,29,redreef,23000000,46.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
15,6,Black Hole Sun,Black Hole Sun,True,28,rednexus,16000000,32.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
16,6,Albion Alpha,Albion Alpha,True,19,greenoutlands,25000000,50.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
17,6,Albion Beta,Albion Beta,True,19,greenoutlands,25000000,50.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
18,6,Albion Gamma,Albion Gamma,True,19,greenoutlands,25000000,50.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
19,6,Xenon Sector 598,Xenon Sector 598,True,31,standardblack,20000000,40.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
20,6,Xenon Sector 627,Xenon Sector 627,True,30,redsplit,20000000,40.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
